split,feature,missing_count,missing_pct
test,amount,3969,19.684570748400535
train,amount,19552,20.779883304460576
validation,amount,4117,20.418588503694888
test,amount_band,0,0.0
train,amount_band,0,0.0
validation,amount_band,0,0.0
test,amount_log1p,3969,19.684570748400535
train,amount_log1p,19552,20.779883304460576
validation,amount_log1p,4117,20.418588503694888
test,amount_missing_flag,0,0.0
train,amount_missing_flag,0,0.0
validation,amount_missing_flag,0,0.0
test,amount_non_positive_flag,0,0.0
train,amount_non_positive_flag,0,0.0
validation,amount_non_positive_flag,0,0.0
test,broad_data_quality_issue_count,0,0.0
train,broad_data_quality_issue_count,0,0.0
validation,broad_data_quality_issue_count,0,0.0
test,core_data_quality_issue_count,0,0.0
train,core_data_quality_issue_count,0,0.0
validation,core_data_quality_issue_count,0,0.0
test,delinq_2yrs,0,0.0
train,delinq_2yrs,0,0.0
validation,delinq_2yrs,0,0.0
test,dependents,0,0.0
train,dependents,0,0.0
validation,dependents,0,0.0
test,dependents_band,0,0.0
train,dependents_band,0,0.0
validation,dependents_band,0,0.0
test,employment_type,0,0.0
train,employment_type,0,0.0
validation,employment_type,0,0.0
test,employment_type_missing_flag,0,0.0
train,employment_type_missing_flag,0,0.0
validation,employment_type_missing_flag,0,0.0
test,has_broad_data_quality_issue,0,0.0
train,has_broad_data_quality_issue,0,0.0
validation,has_broad_data_quality_issue,0,0.0
test,has_core_data_quality_issue,0,0.0
train,has_core_data_quality_issue,0,0.0
validation,has_core_data_quality_issue,0,0.0
test,has_existing_loans_flag,0,0.0
train,has_existing_loans_flag,0,0.0
validation,has_existing_loans_flag,0,0.0
test,has_prior_delinquency_flag,0,0.0
train,has_prior_delinquency_flag,0,0.0
validation,has_prior_delinquency_flag,0,0.0
test,high_amount_flag,0,0.0
train,high_amount_flag,0,0.0
validation,high_amount_flag,0,0.0
test,high_interest_flag,0,0.0
train,high_interest_flag,0,0.0
validation,high_interest_flag,0,0.0
test,high_loan_to_income_flag,0,0.0
train,high_loan_to_income_flag,0,0.0
validation,high_loan_to_income_flag,0,0.0
test,home,0,0.0
train,home,0,0.0
validation,home,0,0.0
test,income_band,0,0.0
train,income_band,0,0.0
validation,income_band,0,0.0
test,industry_missing_flag,0,0.0
train,industry_missing_flag,0,0.0
validation,industry_missing_flag,0,0.0
test,industry_placeholder_zero_flag,0,0.0
train,industry_placeholder_zero_flag,0,0.0
validation,industry_placeholder_zero_flag,0,0.0
test,interest_rate,0,0.0
train,interest_rate,0,0.0
validation,interest_rate,0,0.0
test,interest_rate_band,0,0.0
train,interest_rate_band,0,0.0
validation,interest_rate_band,0,0.0
test,interest_rate_x_lti,3969,19.684570748400535
train,interest_rate_x_lti,19552,20.779883304460576
validation,interest_rate_x_lti,4117,20.418588503694888
test,is_verified,0,0.0
train,is_verified,0,0.0
validation,is_verified,0,0.0
test,is_verified_missing_flag,0,0.0
train,is_verified_missing_flag,0,0.0
validation,is_verified_missing_flag,0,0.0
test,loan_category,0,0.0
train,loan_category,0,0.0
validation,loan_category,0,0.0
test,loan_to_income_band,0,0.0
train,loan_to_income_band,0,0.0
validation,loan_to_income_band,0,0.0
test,loan_to_income_ratio,3969,19.684570748400535
train,loan_to_income_ratio,19552,20.779883304460576
validation,loan_to_income_ratio,4117,20.418588503694888
test,loan_to_income_ratio_log1p,3969,19.684570748400535
train,loan_to_income_ratio_log1p,19552,20.779883304460576
validation,loan_to_income_ratio_log1p,4117,20.418588503694888
test,low_income_flag,0,0.0
train,low_income_flag,0,0.0
validation,low_income_flag,0,0.0
test,married_missing_flag,0,0.0
train,married_missing_flag,0,0.0
validation,married_missing_flag,0,0.0
test,multiple_loans_flag,0,0.0
train,multiple_loans_flag,0,0.0
validation,multiple_loans_flag,0,0.0
test,number_of_loans,0,0.0
train,number_of_loans,0,0.0
validation,number_of_loans,0,0.0
test,social_profile_missing_flag,0,0.0
train,social_profile_missing_flag,0,0.0
validation,social_profile_missing_flag,0,0.0
test,tenure_band,0,0.0
train,tenure_band,0,0.0
validation,tenure_band,0,0.0
test,tenure_years,0,0.0
train,tenure_years,0,0.0
validation,tenure_years,0,0.0
test,tier_of_employment,0,0.0
train,tier_of_employment,0,0.0
validation,tier_of_employment,0,0.0
test,tier_of_employment_missing_flag,0,0.0
train,tier_of_employment_missing_flag,0,0.0
validation,tier_of_employment_missing_flag,0,0.0
test,total_income_pa,0,0.0
train,total_income_pa,0,0.0
validation,total_income_pa,0,0.0
test,total_income_pa_log1p,0,0.0
train,total_income_pa_log1p,0,0.0
validation,total_income_pa_log1p,0,0.0
test,very_high_loan_to_income_flag,0,0.0
train,very_high_loan_to_income_flag,0,0.0
validation,very_high_loan_to_income_flag,0,0.0
test,work_experience,0,0.0
train,work_experience,0,0.0
validation,work_experience,0,0.0
test,work_experience_missing_flag,0,0.0
train,work_experience_missing_flag,0,0.0
validation,work_experience_missing_flag,0,0.0
test,work_experience_placeholder_zero_flag,0,0.0
train,work_experience_placeholder_zero_flag,0,0.0
validation,work_experience_placeholder_zero_flag,0,0.0
